,segment,H,L
273,1259159552,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1258291200/H-H1_GWOSC_O3b_4KHZ_R1-1259159552-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1258291200/L-L1_GWOSC_O3b_4KHZ_R1-1259159552-4096.hdf5
274,1259163648,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1258291200/H-H1_GWOSC_O3b_4KHZ_R1-1259163648-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1258291200/L-L1_GWOSC_O3b_4KHZ_R1-1259163648-4096.hdf5
275,1259167744,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1258291200/H-H1_GWOSC_O3b_4KHZ_R1-1259167744-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1258291200/L-L1_GWOSC_O3b_4KHZ_R1-1259167744-4096.hdf5
276,1259171840,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1258291200/H-H1_GWOSC_O3b_4KHZ_R1-1259171840-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1258291200/L-L1_GWOSC_O3b_4KHZ_R1-1259171840-4096.hdf5
277,1259175936,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1258291200/H-H1_GWOSC_O3b_4KHZ_R1-1259175936-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1258291200/L-L1_GWOSC_O3b_4KHZ_R1-1259175936-4096.hdf5
278,1259311104,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1258291200/H-H1_GWOSC_O3b_4KHZ_R1-1259311104-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1258291200/L-L1_GWOSC_O3b_4KHZ_R1-1259311104-4096.hdf5
279,1259335680,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1258291200/H-H1_GWOSC_O3b_4KHZ_R1-1259335680-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1258291200/L-L1_GWOSC_O3b_4KHZ_R1-1259335680-4096.hdf5
280,1259343872,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259343872-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259343872-4096.hdf5
281,1259347968,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259347968-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259347968-4096.hdf5
282,1259352064,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259352064-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259352064-4096.hdf5
283,1259368448,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259368448-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259368448-4096.hdf5
284,1259372544,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259372544-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259372544-4096.hdf5
285,1259376640,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259376640-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259376640-4096.hdf5
286,1259380736,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259380736-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259380736-4096.hdf5
287,1259384832,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259384832-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259384832-4096.hdf5
288,1259388928,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259388928-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259388928-4096.hdf5
289,1259393024,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259393024-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259393024-4096.hdf5
290,1259397120,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259397120-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259397120-4096.hdf5
291,1259405312,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259405312-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259405312-4096.hdf5
292,1259409408,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259409408-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259409408-4096.hdf5
293,1259413504,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259413504-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259413504-4096.hdf5
294,1259446272,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259446272-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259446272-4096.hdf5
295,1259450368,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259450368-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259450368-4096.hdf5
296,1259454464,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259454464-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259454464-4096.hdf5
